Review,Sentiment,City
Comfortable for small families,Positive,Multan
Excellent fuel efficiency for daily use,Positive,Islamabad
Cheap interior materials,Negative,Karachi
Comfortable for small families,Positive,Islamabad
Perfect for daily commute,Positive,Islamabad
Smooth driving experience in city,Positive,Lahore
Low fuel consumption,Positive,Multan
Low safety features,Negative,Karachi
Excellent fuel efficiency for daily use,Positive,Karachi
Poor build quality and weak body,Negative,Faisalabad
Low fuel consumption,Positive,Karachi
Very affordable maintenance cost,Positive,Faisalabad
Engine performance is underpowered,Negative,Karachi
Very affordable maintenance cost,Positive,Karachi
Good resale value in market,Positive,Lahore
Great value for money,Positive,Karachi
Perfect for daily commute,Positive,Islamabad
Not durable for long term use,Negative,Lahore
Reliable and economical car,Positive,Islamabad
AC is not effective in hot weather,Negative,Multan
Good resale value in market,Positive,Islamabad
Very affordable maintenance cost,Positive,Faisalabad
Low fuel consumption,Positive,Karachi
Smooth driving experience in city,Positive,Faisalabad
Good resale value in market,Positive,Multan
Very affordable maintenance cost,Positive,Islamabad
Perfect for daily commute,Positive,Multan
Excellent fuel efficiency for daily use,Positive,Islamabad
Very affordable maintenance cost,Positive,Karachi
Excellent fuel efficiency for daily use,Positive,Karachi
Great value for money,Positive,Multan
AC is not effective in hot weather,Negative,Multan
Excellent fuel efficiency for daily use,Positive,Lahore
Comfortable for small families,Positive,Karachi
Comfortable for small families,Positive,Multan
Reliable and economical car,Positive,Lahore
Comfortable for small families,Positive,Karachi
Suspension feels uncomfortable,Negative,Multan
Very affordable maintenance cost,Positive,Lahore
Cheap interior materials,Negative,Karachi
Comfortable for small families,Positive,Multan
Brake performance is weak,Negative,Multan
Engine performance is underpowered,Negative,Lahore
Not suitable for long routes,Negative,Multan
Perfect for daily commute,Positive,Karachi
Very affordable maintenance cost,Positive,Islamabad
Great value for money,Positive,Faisalabad
Good resale value in market,Positive,Multan
Low fuel consumption,Positive,Lahore
Low fuel consumption,Positive,Lahore
Reliable and economical car,Positive,Lahore
Easy to park in crowded areas,Positive,Karachi
Very affordable maintenance cost,Positive,Karachi
Great value for money,Positive,Faisalabad
Good resale value in market,Positive,Faisalabad
Perfect for daily commute,Positive,Karachi
Good resale value in market,Positive,Multan
Great value for money,Positive,Islamabad
Low safety features,Negative,Islamabad
Perfect for daily commute,Positive,Karachi
Comfortable for small families,Positive,Karachi
Excellent fuel efficiency for daily use,Positive,Islamabad
Reliable and economical car,Positive,Lahore
Low safety features,Negative,Lahore
Perfect for daily commute,Positive,Multan
Cheap interior materials,Negative,Faisalabad
Good resale value in market,Positive,Faisalabad
Good resale value in market,Positive,Islamabad
Perfect for daily commute,Positive,Karachi
Great value for money,Positive,Faisalabad
Smooth driving experience in city,Positive,Multan
